Episode,BTN Reward,BB Reward,Epsilon_BTN,Epsilon_BB
10,-12.154,-0.13799999999999985,0.9043820750088043,0.9043820750088043
20,-5.35,-1.3659999999999997,0.8179069375972307,0.8179069375972307
30,0.5099999999999998,-0.12599999999999997,0.7397003733882802,0.7397003733882802
40,-4.348,-0.484,0.6689717585696803,0.6689717585696803
50,-0.5940000000000001,-0.256,0.6050060671375365,0.6050060671375365
60,-6.55,-4.508000000000001,0.5471566423907612,0.5471566423907612
70,-9.6,0.5820000000000013,0.49483865960020695,0.49483865960020695
80,-6.15,0.7299999999999996,0.44752321376381066,0.44752321376381066
90,0.9279999999999999,0.3179999999999999,0.4047319726783239,0.4047319726783239
100,0.013999999999999967,-0.9899999999999999,0.36603234127322926,0.36603234127322926
1000,-2.8911599999999997,0.17362000000000002,5.27,0.11919999999999999,0.0,0.0
2000,-0.9588800000000001,0.11028000000000003,-2.331999999999999,0.6404000000000001,0.0,0.0
3000,0.6055800000000002,0.17418000000000003,-5.371600000000001,1.1468000000000003,0.0,0.0
4000,0.28404,0.79268,-3.748800000000001,0.08440000000000002,0.0,0.0
5000,-0.4719799999999999,0.12577,-8.182400000000001,0.44439999999999996,0.0,0.0
